,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,tolls_amount,fare_amount,total_amount
170,2009-05-27 20:37:00 UTC,-73.977602,40.752718,-74.040328,40.621128,1,15.18,4.15,33.7,42.35
171,2010-02-25 20:14:00 UTC,-73.97909,40.76142,-73.921652,40.768777,1,4.67,0.0,15.3,19.3
172,2014-05-29 13:18:04 UTC,-73.870804,40.773625,-74.00607,40.68153,2,13.1,0.0,44.0,48.5
173,2011-12-08 20:47:17 UTC,-74.008458,40.720852,-73.959681,40.782037,2,6.7,0.0,19.3,23.3
174,2014-10-06 15:16:00 UTC,-73.87328,40.774015,-73.952947,40.791687,1,7.74,5.33,25.0,30.83
175,2014-12-08 21:50:00 UTC,-73.984807,40.764613,-73.982285,40.724758,5,3.76,0.0,17.5,22.1
176,2010-05-08 07:41:12 UTC,-73.973459,40.779571,-73.979201,40.781808,1,0.3,0.0,2.9,3.4
177,2014-12-24 19:01:05 UTC,-73.863777,40.769745,-73.965938,40.75545,1,10.3,5.33,30.0,47.83
178,2014-05-17 15:15:00 UTC,-73.863422,40.76909,-73.97955,40.772605,1,10.92,5.33,33.5,47.33
179,2010-12-21 13:08:00 UTC,-73.939775,40.809697,-73.99065,40.760762,1,0.51,0.0,16.1,16.6
180,2011-10-05 08:14:00 UTC,-73.9785,40.762357,-73.86189,40.768492,1,11.17,4.8,25.7,36.14
181,2013-03-27 03:35:00 UTC,-74.011607,40.702721,-73.947152,40.756551,1,8.1,0.0,23.5,24.5
182,2012-03-16 04:30:32 UTC,-74.032209,40.727835,-74.032407,40.727902,1,0.0,0.0,60.0,65.0
183,2014-05-20 23:09:00 UTC,-73.874567,40.774102,-73.98648,40.759202,1,11.43,5.33,37.0,54.04
184,2009-01-08 22:16:40 UTC,-73.995762,40.724454,-73.979795,40.713878,1,1.7,0.0,8.2,8.2
185,2014-01-29 10:09:59 UTC,-73.989821,40.762109,-73.992835,40.752679,1,3.8,0.0,23.0,29.37
186,2011-05-25 19:00:03 UTC,-73.973789,40.764291,-74.015172,40.714505,1,7.8,0.0,23.7,25.2
187,2013-04-18 08:48:00 UTC,-73.95375,40.76635,-73.990058,40.738277,1,3.9,0.0,18.0,22.1
188,2012-03-30 18:28:20 UTC,-73.862603,40.769291,-73.83359,40.839388,2,9.9,4.8,23.7,30.0
189,2014-10-14 18:52:03 UTC,-73.997995,40.761638,-74.008985,40.712442,1,4.3,0.0,18.0,19.5
190,2010-02-25 20:14:00 UTC,-73.994645,40.746128,-73.958235,40.720967,1,8.66,0.0,23.7,26.7
191,2009-02-22 22:17:51 UTC,-73.960829,40.766743,-73.971117,40.746137,2,1.6,0.0,7.4,7.4
192,2012-12-28 00:49:42 UTC,-73.98751,40.760319,-73.945598,40.727384,2,5.1,0.0,19.5,20.5
193,2012-11-19 17:41:00 UTC,-73.982002,40.759785,-73.974655,40.687525,5,9.01,0.0,38.5,42.0
194,2009-12-07 20:49:00 UTC,-73.992683,40.745647,-73.946317,40.805488,1,5.56,0.0,16.1,17.1
195,2011-10-05 08:14:00 UTC,-73.973753,40.749005,-74.01134,40.702427,1,5.27,0.0,15.3,17.3
196,2012-06-08 06:05:42 UTC,-73.97974,40.76289,-73.861776,40.768401,1,11.1,0.0,25.3,25.8
197,2012-03-04 00:57:00 UTC,-73.992725,40.734112,-73.87815,40.756282,6,7.65,0.0,23.3,26.3
198,2014-11-26 00:51:56 UTC,-73.981892,40.748998,-73.929737,40.700655,1,6.4,0.0,23.0,24.0
199,2013-12-09 15:03:00 UTC,-74.003225,40.749082,-73.964467,40.758132,4,2.98,0.0,17.5,18.0
200,2009-09-25 03:47:00 UTC,-73.987712,40.749603,-73.914158,40.776933,1,6.4,0.0,16.1,19.92
201,2010-05-22 12:30:55 UTC,-73.947361,40.775829,-73.993657,40.721529,2,5.7,0.0,17.7,18.2
202,2012-11-19 17:41:00 UTC,-73.870992,40.77369,-73.97332,40.736715,1,9.23,4.8,31.0,37.3
203,2010-06-30 13:50:28 UTC,-73.972527,40.75612,-73.870515,40.773746,2,9.2,0.0,24.5,31.25
204,2012-11-19 17:41:00 UTC,-73.994315,40.754355,-73.96022,40.770602,2,3.1,0.0,17.5,21.0
205,2010-06-29 15:10:34 UTC,-73.870795,40.77368,-73.137393,41.366138,1,10.8,0.0,26.5,27.0
206,2014-12-08 21:50:00 UTC,-73.989902,40.729142,-73.969703,40.791352,1,6.16,0.0,21.5,26.9
207,2015-04-13 16:29:36 UTC,-74.001708984375,40.74601745605469,-73.96607971191406,40.58823013305664,1,14.7,0.0,49.0,50.8
208,2010-04-29 12:28:00 UTC,-74.001865,40.737902,-74.00154,40.740915,2,0.24,0.0,2.9,3.4
209,2011-10-05 08:14:00 UTC,-73.9562,40.7788,-74.0163,40.7103,3,8.3,0.0,24.5,29.0
210,2012-03-08 13:47:06 UTC,-74.007114,40.708619,-73.961407,40.774257,1,6.8,0.0,19.7,20.2
211,2013-02-13 06:07:20 UTC,-73.98575,40.778681,-73.861586,40.76796,1,10.8,4.8,31.5,44.16
212,2010-12-21 17:58:15 UTC,0.0,0.0,0.0,0.0,1,8.3,4.57,19.7,30.92
213,2013-05-18 21:51:49 UTC,-73.951917,40.78626,-73.954183,40.787273,1,0.1,0.0,3.0,4.0
214,2014-07-09 00:42:45 UTC,-73.988384,40.752651,-73.919538,40.767576,1,5.7,0.0,24.0,27.0
215,2011-03-19 03:32:00 UTC,-74.002532,40.739627,-73.948453,40.77818,2,4.89,0.0,14.9,15.9
216,2012-11-23 14:11:19 UTC,-73.998718,40.749579,-73.871133,40.774099,1,9.7,4.8,29.0,34.3
217,2010-12-17 00:56:09 UTC,-73.967081,40.763421,-73.965365,40.67973,1,8.8,0.0,22.1,27.72
218,2010-12-21 13:08:00 UTC,-73.950412,40.770963,-74.003968,40.713028,1,6.44,0.0,19.3,19.8
219,2012-03-04 00:57:00 UTC,-73.980707,40.676027,-73.940152,40.811603,5,14.45,0.0,34.9,42.98
220,2012-03-04 00:57:00 UTC,-73.98185,40.767232,-73.937545,40.844057,1,7.84,0.0,20.9,21.9
221,2015-02-28 13:41:18 UTC,-73.99054718017578,40.7615852355957,-73.99787902832031,40.72260284423828,1,3.3,0.0,21.0,26.15
222,2009-11-05 06:47:00 UTC,-74.038562,40.73955,-73.885453,40.773182,3,15.04,4.57,34.5,46.47
223,2014-02-15 15:25:30 UTC,-73.86381,40.769569,-73.989033,40.757824,3,12.2,5.33,37.0,51.39
224,2014-04-28 20:34:03 UTC,-74.032234,40.716802,-74.032293,40.716685,1,0.0,13.0,80.0,111.6
225,2010-06-10 22:03:08 UTC,-73.862826,40.769148,-73.990566,40.746233,1,16.8,4.57,40.9,56.47
